,date,cases,deaths
38840,2021-11-08,742919,8827
38841,2021-11-09,744364,8858
38842,2021-11-10,746354,8857
38843,2021-11-11,746354,8857
38844,2021-11-12,750477,8934
38845,2021-11-13,750477,8934
38846,2021-11-14,750477,8934
38847,2021-11-15,755011,8990
38848,2021-11-16,756310,9029
38849,2021-11-17,758483,9056
38850,2021-11-18,760482,9086
38851,2021-11-19,762118,9110
38852,2021-11-20,762118,9110
38853,2021-11-21,762118,9110
38854,2021-11-22,766008,9139
38855,2021-11-23,767045,9177
38856,2021-11-24,768151,9208
38857,2021-11-25,768151,9208
38858,2021-11-26,768151,9208
38859,2021-11-27,768151,9208
38860,2021-11-28,768151,9208
38861,2021-11-29,773069,9257
38862,2021-11-30,774465,9303
38863,2021-12-01,774465,9303
38864,2021-12-02,778916,9380
38865,2021-12-03,780835,9413
38866,2021-12-04,780835,9413
38867,2021-12-05,780835,9413
38868,2021-12-06,784129,9436
38869,2021-12-07,786042,9460
38870,2021-12-08,787245,9497
38871,2021-12-09,788877,9535
38872,2021-12-10,790412,9554
38873,2021-12-11,790412,9554
38874,2021-12-12,790412,9554
38875,2021-12-13,793757,9580
38876,2021-12-14,794878,9608
38877,2021-12-15,796369,9635
38878,2021-12-16,798239,9653
38879,2021-12-17,800329,9674
38880,2021-12-18,800329,9674
38881,2021-12-19,800329,9674
38882,2021-12-20,805831,9695
38883,2021-12-21,807529,9725
38884,2021-12-22,809600,9755
38885,2021-12-23,813741,9784
38886,2021-12-24,813741,9784
38887,2021-12-25,813741,9784
38888,2021-12-26,813741,9784
38889,2021-12-27,834235,9801
38890,2021-12-28,837378,9822
38891,2021-12-29,842196,9839
38892,2021-12-30,849075,9853
38893,2021-12-31,849075,9853
38894,2022-01-01,849075,9853
38895,2022-01-02,849075,9853
38896,2022-01-03,882144,9853
38897,2022-01-04,888336,9909
38898,2022-01-05,899036,9909
38899,2022-01-06,913980,9974
38900,2022-01-07,931071,10004
38901,2022-01-08,931071,10004
38902,2022-01-09,931071,10004
38903,2022-01-10,978680,10028
38904,2022-01-11,991838,10026
38905,2022-01-12,1009187,10103
38906,2022-01-13,1025322,10143
38907,2022-01-14,1041456,10196
38908,2022-01-15,1041456,10196
38909,2022-01-16,1041456,10196
38910,2022-01-17,1041456,10196
38911,2022-01-18,1105622,10230
38912,2022-01-19,1119228,10230
38913,2022-01-20,1135778,10339
38914,2022-01-21,1152026,10401
38915,2022-01-22,1151835,10405
38916,2022-01-23,1151835,10405
38917,2022-01-24,1203311,10458
38918,2022-01-25,1203311,10458
38919,2022-01-26,1257918,10580
38920,2022-01-27,1257918,10580
38921,2022-01-28,1294497,10699
38922,2022-01-29,1294497,10699
38923,2022-01-30,1294497,10699
38924,2022-01-31,1339737,10776
38925,2022-02-01,1339737,10776
38926,2022-02-02,1355428,10845
38927,2022-02-03,1355428,10845
38928,2022-02-04,1367763,10967
38929,2022-02-05,1367763,10967
38930,2022-02-06,1367763,10967
38931,2022-02-07,1382782,11099
38932,2022-02-08,1382782,11099
38933,2022-02-09,1391026,11194
38934,2022-02-10,1391026,11194
38935,2022-02-11,1410596,11316
38936,2022-02-12,1410596,11316
